id,word,candidate_input,boundary_position,label,gold_segmentation_x,source_page,base_id,gold_word,gold_segmentation_y,gold_source_page,word_match,segmentation_match,source_page_match,surface_concatenative,candidate_has_boundary_marker,expected_label,label_match,validation_status,validation_note
K00485_5,লুগাআউলা,লুগাআউলা‡লুগাআ•উলা,5,0,লুগা+আউলা,136,K00485,লুগাআউলা,লুগা+আউলা,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00485_6,লুগাআউলা,লুগাআউলা‡লুগাআউ•লা,6,0,লুগা+আউলা,136,K00485,লুগাআউলা,লুগা+আউলা,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00485_7,লুগাআউলা,লুগাআউলা‡লুগাআউল•া,7,0,লুগা+আউলা,136,K00485,লুগাআউলা,লুগা+আউলা,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00486_1,গাড়িআউলা,গাড়িআউলা‡গ•াড়িআউলা,1,0,গাড়ি+আউলা,136,K00486,গাড়িআউলা,গাড়ি+আউলা,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00486_2,গাড়িআউলা,গাড়িআউলা‡গা•ড়িআউলা,2,0,গাড়ি+আউলা,136,K00486,গাড়িআউলা,গাড়ি+আউলা,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00486_3,গাড়িআউলা,গাড়িআউলা‡গাড•়িআউলা,3,0,গাড়ি+আউলা,136,K00486,গাড়িআউলা,গাড়ি+আউলা,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00486_4,গাড়িআউলা,গাড়িআউলা‡গাড়•িআউলা,4,0,গাড়ি+আউলা,136,K00486,গাড়িআউলা,গাড়ি+আউলা,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00486_5,গাড়িআউলা,গাড়িআউলা‡গাড়ি•আউলা,5,1,গাড়ি+আউলা,136,K00486,গাড়িআউলা,গাড়ি+আউলা,136,True,True,True,True,True,1,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00486_6,গাড়িআউলা,গাড়িআউলা‡গাড়িআ•উলা,6,0,গাড়ি+আউলা,136,K00486,গাড়িআউলা,গাড়ি+আউলা,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00486_7,গাড়িআউলা,গাড়িআউলা‡গাড়িআউ•লা,7,0,গাড়ি+আউলা,136,K00486,গাড়িআউলা,গাড়ি+আউলা,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00486_8,গাড়িআউলা,গাড়িআউলা‡গাড়িআউল•া,8,0,গাড়ি+আউলা,136,K00486,গাড়িআউলা,গাড়ি+আউলা,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00487_1,ঘারআউলি,ঘারআউলি‡ঘ•ারআউলি,1,0,ঘার+আউলি,136,K00487,ঘারআউলি,ঘার+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00487_2,ঘারআউলি,ঘারআউলি‡ঘা•রআউলি,2,0,ঘার+আউলি,136,K00487,ঘারআউলি,ঘার+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00487_3,ঘারআউলি,ঘারআউলি‡ঘার•আউলি,3,1,ঘার+আউলি,136,K00487,ঘারআউলি,ঘার+আউলি,136,True,True,True,True,True,1,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00487_4,ঘারআউলি,ঘারআউলি‡ঘারআ•উলি,4,0,ঘার+আউলি,136,K00487,ঘারআউলি,ঘার+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00487_5,ঘারআউলি,ঘারআউলি‡ঘারআউ•লি,5,0,ঘার+আউলি,136,K00487,ঘারআউলি,ঘার+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00487_6,ঘারআউলি,ঘারআউলি‡ঘারআউল•ি,6,0,ঘার+আউলি,136,K00487,ঘারআউলি,ঘার+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00488_1,লুগাআউলি,লুগাআউলি‡ল•ুগাআউলি,1,0,লুগা+আউলি,136,K00488,লুগাআউলি,লুগা+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00488_2,লুগাআউলি,লুগাআউলি‡লু•গাআউলি,2,0,লুগা+আউলি,136,K00488,লুগাআউলি,লুগা+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00488_3,লুগাআউলি,লুগাআউলি‡লুগ•াআউলি,3,0,লুগা+আউলি,136,K00488,লুগাআউলি,লুগা+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00488_4,লুগাআউলি,লুগাআউলি‡লুগা•আউলি,4,1,লুগা+আউলি,136,K00488,লুগাআউলি,লুগা+আউলি,136,True,True,True,True,True,1,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00488_5,লুগাআউলি,লুগাআউলি‡লুগাআ•উলি,5,0,লুগা+আউলি,136,K00488,লুগাআউলি,লুগা+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00488_6,লুগাআউলি,লুগাআউলি‡লুগাআউ•লি,6,0,লুগা+আউলি,136,K00488,লুগাআউলি,লুগা+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00488_7,লুগাআউলি,লুগাআউলি‡লুগাআউল•ি,7,0,লুগা+আউলি,136,K00488,লুগাআউলি,লুগা+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00489_1,মাছআউলি,মাছআউলি‡ম•াছআউলি,1,0,মাছ+আউলি,136,K00489,মাছআউলি,মাছ+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00489_2,মাছআউলি,মাছআউলি‡মা•ছআউলি,2,0,মাছ+আউলি,136,K00489,মাছআউলি,মাছ+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00489_3,মাছআউলি,মাছআউলি‡মাছ•আউলি,3,1,মাছ+আউলি,136,K00489,মাছআউলি,মাছ+আউলি,136,True,True,True,True,True,1,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00489_4,মাছআউলি,মাছআউলি‡মাছআ•উলি,4,0,মাছ+আউলি,136,K00489,মাছআউলি,মাছ+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00489_5,মাছআউলি,মাছআউলি‡মাছআউ•লি,5,0,মাছ+আউলি,136,K00489,মাছআউলি,মাছ+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00489_6,মাছআউলি,মাছআউলি‡মাছআউল•ি,6,0,মাছ+আউলি,136,K00489,মাছআউলি,মাছ+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00490_1,চুইলআউলি,চুইলআউলি‡চ•ুইলআউলি,1,0,চুইল+আউলি,136,K00490,চুইলআউলি,চুইল+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00490_2,চুইলআউলি,চুইলআউলি‡চু•ইলআউলি,2,0,চুইল+আউলি,136,K00490,চুইলআউলি,চুইল+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00490_3,চুইলআউলি,চুইলআউলি‡চুই•লআউলি,3,0,চুইল+আউলি,136,K00490,চুইলআউলি,চুইল+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00490_4,চুইলআউলি,চুইলআউলি‡চুইল•আউলি,4,1,চুইল+আউলি,136,K00490,চুইলআউলি,চুইল+আউলি,136,True,True,True,True,True,1,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00490_5,চুইলআউলি,চুইলআউলি‡চুইলআ•উলি,5,0,চুইল+আউলি,136,K00490,চুইলআউলি,চুইল+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00490_6,চুইলআউলি,চুইলআউলি‡চুইলআউ•লি,6,0,চুইল+আউলি,136,K00490,চুইলআউলি,চুইল+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00490_7,চুইলআউলি,চুইলআউলি‡চুইলআউল•ি,7,0,চুইল+আউলি,136,K00490,চুইলআউলি,চুইল+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00491_1,গাড়িআউলি,গাড়িআউলি‡গ•াড়িআউলি,1,0,গাড়ি+আউলি,136,K00491,গাড়িআউলি,গাড়ি+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00491_2,গাড়িআউলি,গাড়িআউলি‡গা•ড়িআউলি,2,0,গাড়ি+আউলি,136,K00491,গাড়িআউলি,গাড়ি+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00491_3,গাড়িআউলি,গাড়িআউলি‡গাড•়িআউলি,3,0,গাড়ি+আউলি,136,K00491,গাড়িআউলি,গাড়ি+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00491_4,গাড়িআউলি,গাড়িআউলি‡গাড়•িআউলি,4,0,গাড়ি+আউলি,136,K00491,গাড়িআউলি,গাড়ি+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00491_5,গাড়িআউলি,গাড়িআউলি‡গাড়ি•আউলি,5,1,গাড়ি+আউলি,136,K00491,গাড়িআউলি,গাড়ি+আউলি,136,True,True,True,True,True,1,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00491_6,গাড়িআউলি,গাড়িআউলি‡গাড়িআ•উলি,6,0,গাড়ি+আউলি,136,K00491,গাড়িআউলি,গাড়ি+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00491_7,গাড়িআউলি,গাড়িআউলি‡গাড়িআউ•লি,7,0,গাড়ি+আউলি,136,K00491,গাড়িআউলি,গাড়ি+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00491_8,গাড়িআউলি,গাড়িআউলি‡গাড়িআউল•ি,8,0,গাড়ি+আউলি,136,K00491,গাড়িআউলি,গাড়ি+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00492_1,গরুআউলি,গরুআউলি‡গ•রুআউলি,1,0,গরু+আউলি,136,K00492,গরুআউলি,গরু+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00492_2,গরুআউলি,গরুআউলি‡গর•ুআউলি,2,0,গরু+আউলি,136,K00492,গরুআউলি,গরু+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00492_3,গরুআউলি,গরুআউলি‡গরু•আউলি,3,1,গরু+আউলি,136,K00492,গরুআউলি,গরু+আউলি,136,True,True,True,True,True,1,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00492_4,গরুআউলি,গরুআউলি‡গরুআ•উলি,4,0,গরু+আউলি,136,K00492,গরুআউলি,গরু+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00492_5,গরুআউলি,গরুআউলি‡গরুআউ•লি,5,0,গরু+আউলি,136,K00492,গরুআউলি,গরু+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00492_6,গরুআউলি,গরুআউলি‡গরুআউল•ি,6,0,গরু+আউলি,136,K00492,গরুআউলি,গরু+আউলি,136,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00622_1,জমিদার,জমিদার‡জ•মিদার,1,0,জমি+দার,134,K00622,জমিদার,জমি+দার,134,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00622_2,জমিদার,জমিদার‡জম•িদার,2,0,জমি+দার,134,K00622,জমিদার,জমি+দার,134,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00622_3,জমিদার,জমিদার‡জমি•দার,3,1,জমি+দার,134,K00622,জমিদার,জমি+দার,134,True,True,True,True,True,1,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00622_4,জমিদার,জমিদার‡জমিদ•ার,4,0,জমি+দার,134,K00622,জমিদার,জমি+দার,134,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00622_5,জমিদার,জমিদার‡জমিদা•র,5,0,জমি+দার,134,K00622,জমিদার,জমি+দার,134,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00623_1,খেউঅটদার,খেউঅটদার‡খ•েউঅটদার,1,0,খেউঅট+দার,134,K00623,খেউঅটদার,খেউঅট+দার,134,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00623_2,খেউঅটদার,খেউঅটদার‡খে•উঅটদার,2,0,খেউঅট+দার,134,K00623,খেউঅটদার,খেউঅট+দার,134,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00623_3,খেউঅটদার,খেউঅটদার‡খেউ•অটদার,3,0,খেউঅট+দার,134,K00623,খেউঅটদার,খেউঅট+দার,134,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00623_4,খেউঅটদার,খেউঅটদার‡খেউঅ•টদার,4,0,খেউঅট+দার,134,K00623,খেউঅটদার,খেউঅট+দার,134,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00623_5,খেউঅটদার,খেউঅটদার‡খেউঅট•দার,5,1,খেউঅট+দার,134,K00623,খেউঅটদার,খেউঅট+দার,134,True,True,True,True,True,1,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00623_6,খেউঅটদার,খেউঅটদার‡খেউঅটদ•ার,6,0,খেউঅট+দার,134,K00623,খেউঅটদার,খেউঅট+দার,134,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00623_7,খেউঅটদার,খেউঅটদার‡খেউঅটদা•র,7,0,খেউঅট+দার,134,K00623,খেউঅটদার,খেউঅট+দার,134,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00624_1,বাজনদার,বাজনদার‡ব•াজনদার,1,0,বাজন+দার,134,K00624,বাজনদার,বাজন+দার,134,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00624_2,বাজনদার,বাজনদার‡বা•জনদার,2,0,বাজন+দার,134,K00624,বাজনদার,বাজন+দার,134,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00624_3,বাজনদার,বাজনদার‡বাজ•নদার,3,0,বাজন+দার,134,K00624,বাজনদার,বাজন+দার,134,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00624_4,বাজনদার,বাজনদার‡বাজন•দার,4,1,বাজন+দার,134,K00624,বাজনদার,বাজন+দার,134,True,True,True,True,True,1,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00624_5,বাজনদার,বাজনদার‡বাজনদ•ার,5,0,বাজন+দার,134,K00624,বাজনদার,বাজন+দার,134,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00624_6,বাজনদার,বাজনদার‡বাজনদা•র,6,0,বাজন+দার,134,K00624,বাজনদার,বাজন+দার,134,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00625_1,হকদার,হকদার‡হ•কদার,1,0,হক+দার,134,K00625,হকদার,হক+দার,134,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00625_2,হকদার,হকদার‡হক•দার,2,1,হক+দার,134,K00625,হকদার,হক+দার,134,True,True,True,True,True,1,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00625_3,হকদার,হকদার‡হকদ•ার,3,0,হক+দার,134,K00625,হকদার,হক+দার,134,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00625_4,হকদার,হকদার‡হকদা•র,4,0,হক+দার,134,K00625,হকদার,হক+দার,134,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00626_1,টহলদার,টহলদার‡ট•হলদার,1,0,টহল+দার,134,K00626,টহলদার,টহল+দার,134,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00626_2,টহলদার,টহলদার‡টহ•লদার,2,0,টহল+দার,134,K00626,টহলদার,টহল+দার,134,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00626_3,টহলদার,টহলদার‡টহল•দার,3,1,টহল+দার,134,K00626,টহলদার,টহল+দার,134,True,True,True,True,True,1,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00626_4,টহলদার,টহলদার‡টহলদ•ার,4,0,টহল+দার,134,K00626,টহলদার,টহল+দার,134,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00626_5,টহলদার,টহলদার‡টহলদা•র,5,0,টহল+দার,134,K00626,টহলদার,টহল+দার,134,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00769_1,ঝাঁকমারি,ঝাঁকমারি‡ঝ•াঁকমারি,1,0,ঝাঁক+মারি,141,K00769,ঝাঁকমারি,ঝাঁক+মারি,141,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00769_2,ঝাঁকমারি,ঝাঁকমারি‡ঝা•ঁকমারি,2,0,ঝাঁক+মারি,141,K00769,ঝাঁকমারি,ঝাঁক+মারি,141,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00769_3,ঝাঁকমারি,ঝাঁকমারি‡ঝাঁ•কমারি,3,0,ঝাঁক+মারি,141,K00769,ঝাঁকমারি,ঝাঁক+মারি,141,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00769_4,ঝাঁকমারি,ঝাঁকমারি‡ঝাঁক•মারি,4,1,ঝাঁক+মারি,141,K00769,ঝাঁকমারি,ঝাঁক+মারি,141,True,True,True,True,True,1,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00769_5,ঝাঁকমারি,ঝাঁকমারি‡ঝাঁকম•ারি,5,0,ঝাঁক+মারি,141,K00769,ঝাঁকমারি,ঝাঁক+মারি,141,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00769_6,ঝাঁকমারি,ঝাঁকমারি‡ঝাঁকমা•রি,6,0,ঝাঁক+মারি,141,K00769,ঝাঁকমারি,ঝাঁক+মারি,141,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00769_7,ঝাঁকমারি,ঝাঁকমারি‡ঝাঁকমার•ি,7,0,ঝাঁক+মারি,141,K00769,ঝাঁকমারি,ঝাঁক+মারি,141,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00770_1,গাদিমারি,গাদিমারি‡গ•াদিমারি,1,0,গাদি+মারি,141,K00770,গাদিমারি,গাদি+মারি,141,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00770_2,গাদিমারি,গাদিমারি‡গা•দিমারি,2,0,গাদি+মারি,141,K00770,গাদিমারি,গাদি+মারি,141,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00770_3,গাদিমারি,গাদিমারি‡গাদ•িমারি,3,0,গাদি+মারি,141,K00770,গাদিমারি,গাদি+মারি,141,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00770_4,গাদিমারি,গাদিমারি‡গাদি•মারি,4,1,গাদি+মারি,141,K00770,গাদিমারি,গাদি+মারি,141,True,True,True,True,True,1,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00770_5,গাদিমারি,গাদিমারি‡গাদিম•ারি,5,0,গাদি+মারি,141,K00770,গাদিমারি,গাদি+মারি,141,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00770_6,গাদিমারি,গাদিমারি‡গাদিমা•রি,6,0,গাদি+মারি,141,K00770,গাদিমারি,গাদি+মারি,141,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00770_7,গাদিমারি,গাদিমারি‡গাদিমার•ি,7,0,গাদি+মারি,141,K00770,গাদিমারি,গাদি+মারি,141,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
K00771_1,সুগুমমারি,সুগুমমারি‡স•ুগুমমারি,1,0,সুগুম+মারি,141,K00771,সুগুমমারি,সুগুম+মারি,141,True,True,True,True,True,0,True,VALIDATED,"Word, segmentation, source page, and binary boundary label independently match the surface-concatenative gold boundary."
